id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
APP-001,Turn on the dishwasher,appliances,command,1,dishwasher.set(state=on),act,
APP-002,Turn off the dishwasher,appliances,command,1,dishwasher.set(state=off),act,
APP-003,Start the washing machine,appliances,command,1,washing_machine.set(state=on),act,
APP-004,Turn off the washing machine,appliances,command,1,washing_machine.set(state=off),act,
APP-005,Set the oven to 180 degrees,appliances,command,1,oven.set(state=on temp=180 unit=C),act,
APP-006,Turn off the oven,appliances,command,1,oven.set(state=off),act,
APP-007,Start the robot vacuum,appliances,command,1,vacuum.set(state=on),act,
APP-008,Send the robot vacuum home,appliances,command,1,vacuum.set(state=dock),act,
APP-009,Boil the kettle,appliances,command,1,kettle.set(state=on),act,
APP-010,Make a coffee,appliances,command,1,coffee_maker.set(state=on),act,
APP-011,Start the dryer,appliances,command,1,dryer.set(state=on),act,
APP-012,Turn off the dryer,appliances,command,1,dryer.set(state=off),act,
APP-013,Set the oven to 200 degrees fan mode,appliances,command,1,"oven.set(state=on temp=200 unit=C mode=fan)",act,
APP-014,Start the dishwasher on eco mode,appliances,command,1,dishwasher.set(state=on mode=eco),act,
APP-015,Set the washing machine to a quick wash,appliances,command,1,washing_machine.set(state=on mode=quick),act,
APP-016,Turn on the air purifier,appliances,command,1,air_purifier.set(state=on),act,
APP-017,Turn off the air purifier,appliances,command,1,air_purifier.set(state=off),act,
APP-018,Set the air purifier to high speed,appliances,command,1,air_purifier.set(speed=high),act,
APP-019,Start the dishwasher on intensive mode,appliances,command,1,dishwasher.set(state=on mode=intensive),act,
APP-020,Set the oven to grill mode,appliances,command,1,oven.set(state=on mode=grill),act,
APP-021,Run the microwave for 2 minutes,appliances,command,1,microwave.set(state=on duration=2min),act,
APP-022,Stop the microwave,appliances,command,1,microwave.set(state=off),act,
APP-023,Set the coffee maker to make two cups,appliances,command,1,coffee_maker.set(state=on cups=2),act,
APP-024,Start the washing machine on a cold wash,appliances,command,1,washing_machine.set(state=on temp=cold),act,
APP-025,Turn off the coffee maker,appliances,command,1,coffee_maker.set(state=off),act,
APP-026,Start the washing machine on a delicate cycle,appliances,command,1,washing_machine.set(state=on mode=delicate),act,
APP-027,Set the oven to 200 degrees fan mode,appliances,command,1,"oven.set(state=on temp=200 unit=C mode=fan)",act,
APP-028,Turn off the air purifier,appliances,command,1,air_purifier.set(state=off),act,
APP-029,Set the coffee maker to make one espresso,appliances,command,1,coffee_maker.set(state=on type=espresso cups=1),act,
APP-030,Run the microwave for 3 minutes,appliances,command,1,microwave.set(state=on duration=3min),act,
APP-031,Set the dryer to low heat,appliances,command,1,dryer.set(state=on mode=low),act,
APP-032,Start the dishwasher on quick mode,appliances,command,1,dishwasher.set(state=on mode=quick),act,
APP-033,Set the coffee maker to make four cups,appliances,command,1,coffee_maker.set(state=on cups=4),act,
APP-034,Turn off the kettle,appliances,command,1,kettle.set(state=off),act,
APP-035,Stop the robot vacuum and send it home,appliances,command,1,vacuum.set(state=dock),act,
