id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
MED-001,Turn off the TV,media,command,1,tv.set(state=off),act,
MED-002,Turn on the TV,media,command,1,tv.set(state=on),act,
MED-003,Pause the TV,media,command,1,tv.pause(),act,
MED-004,Set the volume to 30,media,command,1,volume.set(level=30),act,
MED-005,Set the volume to 50,media,command,1,volume.set(level=50),act,
MED-006,Mute the speakers,media,command,1,volume.set(state=mute),act,
MED-007,Unmute the speakers,media,command,1,volume.set(state=unmute),act,
MED-008,Skip to the next track,media,command,1,audio.next(),act,
MED-009,Go back to the previous track,media,command,1,audio.prev(),act,
MED-010,Stop the music,media,command,1,audio.stop(),act,
MED-011,Play jazz music in the living room,media,command,1,audio.play(room=living_room genre=jazz),act,
MED-012,Turn off the kitchen speaker,media,command,1,speaker.set(room=kitchen state=off),act,
MED-013,Turn on the bedroom speaker,media,command,1,speaker.set(room=bedroom state=on),act,
MED-014,Switch to HDMI 1,media,command,1,tv.set(source=hdmi_1),act,
MED-015,Open Netflix,media,command,1,tv.set(source=netflix),act,
MED-016,Set the volume to full,media,command,1,volume.set(level=100),act,
MED-017,Turn off all speakers,media,command,1,speaker.set(all=true state=off),act,
MED-018,Play the radio,media,command,1,audio.play(source=radio),act,
MED-019,Rewind 10 minutes,media,command,1,tv.rewind(duration=10min),act,
MED-020,Fast forward 15 minutes,media,command,1,tv.forward(duration=15min),act,
MED-021,Turn the volume down to 15,media,command,1,volume.set(level=15),act,
MED-022,Play a podcast,media,command,1,audio.play(type=podcast),act,
MED-023,Turn on subtitles,media,command,1,tv.set(subtitles=on),act,
MED-024,Turn off subtitles,media,command,1,tv.set(subtitles=off),act,
MED-025,Play classical music in the bedroom,media,command,1,audio.play(room=bedroom genre=classical),act,
MED-026,Set the volume to 20,media,command,1,volume.set(level=20),act,
MED-027,Turn on the living room speaker,media,command,1,speaker.set(room=living_room state=on),act,
MED-028,Switch the TV to BBC iPlayer,media,command,1,tv.set(source=bbc_iplayer),act,
MED-029,Play ambient music in the study,media,command,1,audio.play(room=study genre=ambient),act,
MED-030,Turn the soundbar off,media,command,1,speaker.set(device=soundbar state=off),act,
MED-031,Set the TV to HDMI 2,media,command,1,tv.set(source=hdmi_2),act,
MED-032,Play Apple Music in the bedroom,media,command,1,audio.play(room=bedroom source=apple_music),act,
MED-033,Stop the podcast,media,command,1,audio.stop(),act,
MED-034,Turn off the living room speaker,media,command,1,speaker.set(room=living_room state=off),act,
MED-035,Set the volume to 70 in the kitchen,media,command,1,volume.set(room=kitchen level=70),act,
MED-036,Turn on some music,media,command,2,audio.play(room=unknown genre=unknown),ask,Which room? Which genre?
MED-037,Play something relaxing,media,command,3,audio.play(room=current genre=ambient),ask,Room inferred. Relaxing interpreted as ambient
MED-038,Can you put something on,media,command,2,audio.play(room=current genre=unknown),ask,Which room? What type of content?
MED-039,I want to watch a film,media,command,2,tv.set(source=streaming mode=browse_films),act,Living room TV assumed. Streaming source inferred
MED-040,Play something in the background,media,command,2,audio.play(room=current genre=ambient volume=low),act,Room inferred. Background implies low ambient
MED-041,Turn it up a bit,media,command,2,volume.set(level=higher),act,Room inferred. Incremental increase assumed
MED-042,Lower the volume,media,command,2,volume.set(level=lower),act,Room inferred. Incremental decrease assumed
MED-043,Something upbeat please,media,command,3,audio.play(room=current genre=upbeat),ask,Room inferred. Upbeat interpreted as energetic genre
MED-044,Put the news on,media,command,2,tv.set(source=news),act,Living room TV assumed
MED-045,Can you find something to watch,media,command,2,tv.set(source=streaming mode=browse),ask,Which platform? Genre preference unknown
MED-046,Play music for dinner,media,command,2,audio.play(room=dining genre=ambient volume=medium),act,Dining room inferred. Dinner music defaults to ambient
MED-047,I want to listen to something while I work,media,command,3,audio.play(room=study genre=focus volume=low),ask,Study assumed. Focus music and low volume assumed
MED-048,Something for the kids please,media,command,2,tv.set(source=streaming mode=children),ask,Which room? Which age group?
MED-049,Turn the TV on,media,command,2,tv.set(state=on room=unknown),ask,Which room?
MED-050,Make it louder,media,command,2,volume.set(level=higher),act,Room inferred. Incremental increase
MED-051,Turn it down,media,command,2,volume.set(level=lower),act,Room inferred. Incremental decrease
MED-052,Something to fall asleep to,media,command,2,audio.play(room=bedroom genre=sleep volume=low),act,Bedroom assumed. Sleep sounds and low volume assumed
MED-053,Play my workout music,media,command,2,audio.play(genre=workout),ask,Which room? Which workout playlist?
MED-054,Play something for cooking,media,command,2,audio.play(room=kitchen genre=upbeat volume=medium),act,Kitchen assumed. Upbeat genre and medium volume assumed
MED-055,Find something interesting to watch,media,command,2,tv.set(source=streaming mode=browse),ask,Interesting is personal — no genre preference known
MED-056,Put something on in the background,media,command,2,audio.play(room=current genre=ambient volume=low),act,Room inferred. Background implies ambient low
MED-057,Can you turn the sound down in here,media,command,2,volume.set(room=current level=lower),act,Room inferred. Incremental decrease
MED-058,I want to listen to something,media,command,2,audio.play(room=current genre=unknown),ask,Which genre?
MED-059,Find me something good to watch,media,command,2,tv.set(source=streaming mode=browse),ask,Good is personal
MED-060,Play something in the kids room,media,command,2,audio.play(room=child_bedroom genre=children),act,Children genre assumed
MED-061,The TV seems too loud,media,command,2,volume.set(room=living_room level=lower),act,Living room TV assumed
MED-062,Can you put some music on for us,media,command,2,audio.play(room=unknown genre=unknown),ask,Which room? Which genre?
MED-063,Something calm for the evening,media,command,3,audio.play(room=current genre=calm),ask,Room inferred. Calm genre inferred from context
MED-064,Set the mood with music,media,command,3,audio.play(room=unknown genre=unknown),ask,Mood for what? Which room?
MED-065,Music for the party,media,command,3,audio.play(all=true genre=party volume=high),ask,Party music is personal — genre and rooms unknown
MED-066,Set it up for movie night,media,command,3,multi.set([tv.set(source=streaming) volume.set(level=medium)]),ask,Movie night setup is personal — platform and exact volume unknown
MED-067,Play something that matches the vibe,media,command,3,audio.play(genre=unknown),ask,Vibe is personal — requires history
MED-068,Entertainment for guests,media,command,3,multi.set([tv.set(state=on) audio.play(room=unknown)]),ask,Guest entertainment is personal
MED-069,Set the tone for the evening,media,command,3,audio.play(room=unknown genre=unknown),ask,Evening tone is personal
MED-070,Background ambience,media,command,3,audio.play(room=unknown genre=ambient volume=low),ask,Which rooms? Ambience level is personal
MED-071,Something for a lazy Sunday,media,command,3,audio.play(genre=unknown),ask,Lazy Sunday taste is personal
MED-072,Music for cooking dinner together,media,command,3,audio.play(room=kitchen genre=unknown),ask,Together implies social — genre preference unknown
MED-073,Create the right atmosphere,media,command,3,audio.play(genre=unknown),ask,Atmosphere is personal — no action without history
MED-074,Set the right tone with music for tonight,media,command,3,audio.play(genre=unknown),ask,Tonight's tone is personal
MED-075,Get the entertainment set up for a family evening,media,command,3,multi.set([tv.set(state=on) audio.play(room=unknown)]),ask,Family evening setup is personal
MED-076,Music that suits what we are doing right now,media,command,3,audio.play(genre=unknown),ask,Activity-matched music is personal
