id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
CAM-001,Show me the front door camera,cameras,command,1,camera.view(device=front_door),act,
CAM-002,Show me the back garden camera,cameras,command,1,camera.view(device=back_garden),act,
CAM-003,Turn on motion detection on the front camera,cameras,command,1,camera.set(device=front_door motion_detection=on),act,
CAM-004,Turn off motion detection on all cameras,cameras,command,1,camera.set(all=true motion_detection=off),act,
CAM-005,Start recording on the front door camera,cameras,command,1,camera.record(device=front_door state=on),act,
CAM-006,Stop recording on all cameras,cameras,command,1,camera.record(all=true state=off),act,
CAM-007,Show me the baby monitor,cameras,command,1,camera.view(device=baby_monitor),act,
CAM-008,Turn on the doorbell camera,cameras,command,1,camera.set(device=doorbell state=on),act,
CAM-009,Turn off the doorbell camera,cameras,command,1,camera.set(device=doorbell state=off),act,
CAM-010,Enable privacy mode on all indoor cameras,cameras,command,1,camera.set(location=indoor privacy=on),act,
CAM-011,Disable privacy mode on all indoor cameras,cameras,command,1,camera.set(location=indoor privacy=off),act,
CAM-012,Show me the garage camera,cameras,command,1,camera.view(device=garage),act,
CAM-013,Turn on night vision on the front camera,cameras,command,1,camera.set(device=front_door night_vision=on),act,
CAM-014,Turn off night vision on all cameras,cameras,command,1,camera.set(all=true night_vision=off),act,
CAM-015,Set the front camera motion sensitivity to high,cameras,command,1,camera.set(device=front_door motion_sensitivity=high),act,
CAM-016,Set the back camera motion sensitivity to low,cameras,command,1,camera.set(device=back_garden motion_sensitivity=low),act,
CAM-017,Turn on all outdoor cameras,cameras,command,1,camera.set(location=outdoor state=on),act,
CAM-018,Turn off all indoor cameras,cameras,command,1,camera.set(location=indoor state=off),act,
CAM-019,Show me a live view of the driveway,cameras,command,1,camera.view(device=driveway),act,
CAM-020,Turn on notifications for the front door camera,cameras,command,1,camera.set(device=front_door notifications=on),act,
CAM-021,Turn off notifications for all cameras,cameras,command,1,camera.set(all=true notifications=off),act,
CAM-022,Check if the front door camera is online,cameras,command,1,camera.check(device=front_door status=online),act,
CAM-023,Start recording on the back garden camera,cameras,command,1,camera.record(device=back_garden state=on),act,
CAM-024,Set the baby monitor to audio only mode,cameras,command,1,camera.set(device=baby_monitor mode=audio_only),act,
CAM-025,Enable two-way audio on the front door camera,cameras,command,1,camera.set(device=front_door two_way_audio=on),act,
