id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
LGT-001,Turn off the kitchen lights,lighting,command,1,light.set(room=kitchen state=off),act,
LGT-002,Turn on the living room lights,lighting,command,1,light.set(room=living_room state=on),act,
LGT-003,Switch off the bedroom lights,lighting,command,1,light.set(room=bedroom state=off),act,
LGT-004,Turn on the bathroom light,lighting,command,1,light.set(room=bathroom state=on),act,
LGT-005,Switch off all the lights,lighting,command,1,light.set(all=true state=off),act,
LGT-006,Turn on the hallway light,lighting,command,1,light.set(room=hallway state=on),act,
LGT-007,Dim the bedroom lights to 30 percent,lighting,command,1,light.set(room=bedroom brightness=30%),act,
LGT-008,Set the living room lights to 80 percent,lighting,command,1,light.set(room=living_room brightness=80%),act,
LGT-009,Brighten the kitchen lights to full,lighting,command,1,light.set(room=kitchen brightness=100%),act,
LGT-010,Turn the dining room lights to 50 percent,lighting,command,1,light.set(room=dining brightness=50%),act,
LGT-011,Set the study lights to 70 percent brightness,lighting,command,1,light.set(room=study brightness=70%),act,
LGT-012,Turn on the garden lights,lighting,command,1,light.set(room=garden state=on),act,
LGT-013,Switch off the garden lights,lighting,command,1,light.set(room=garden state=off),act,
LGT-014,Set the bedroom lights to warm white,lighting,command,1,light.set(room=bedroom colour=warm_white),act,
LGT-015,Change the living room lights to cool white,lighting,command,1,light.set(room=living_room colour=cool_white),act,
LGT-016,Turn on the desk lamp,lighting,command,1,light.set(device=desk_lamp state=on),act,
LGT-017,Switch off the floor lamp,lighting,command,1,light.set(device=floor_lamp state=off),act,
LGT-018,Turn on the night light in the hallway,lighting,command,1,light.set(room=hallway device=night_light state=on),act,
LGT-019,Set all lights to 50 percent,lighting,command,1,light.set(all=true brightness=50%),act,
LGT-020,Turn on the porch light,lighting,command,1,light.set(room=porch state=on),act,
LGT-021,Turn on the outdoor lights,lighting,command,1,light.set(room=outdoor state=on),act,
LGT-022,Set the reading lamp to full brightness,lighting,command,1,light.set(device=reading_lamp brightness=100%),act,
LGT-023,Dim the lights in here,lighting,command,1,light.set(room=current brightness=lower),act,Assumes current room — incremental decrease
LGT-024,Turn the lights off in here,lighting,command,1,light.set(room=current state=off),act,Assumes current room
LGT-025,Brighten it up in here,lighting,command,1,light.set(room=current brightness=100%),act,Assumes current room
LGT-026,Set the child's bedroom lights to 20 percent,lighting,command,1,light.set(room=child_bedroom brightness=20%),act,
LGT-027,Turn on the stair lights,lighting,command,1,light.set(room=stairs state=on),act,
LGT-028,Set the landing light to 50 percent,lighting,command,1,light.set(room=landing brightness=50%),act,
LGT-029,Switch on the bathroom mirror light,lighting,command,1,light.set(device=mirror_light room=bathroom state=on),act,
LGT-030,Turn off the dining room lights,lighting,command,1,light.set(room=dining state=off),act,
LGT-031,Turn on the outdoor flood lights,lighting,command,1,light.set(device=flood_light room=outdoor state=on),act,
LGT-032,Turn on the garage light,lighting,command,1,light.set(room=garage state=on),act,
LGT-033,Switch off the guest bedroom light,lighting,command,1,light.set(room=guest_bedroom state=off),act,
