id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
ROU-001,Turn off all the lights and lock all the doors,routines,command,1,multi.set([light.set(all=true state=off) lock.set(all=true state=locked)]),act,
ROU-002,Lock all the doors and arm the alarm,routines,command,1,multi.set([lock.set(all=true state=locked) alarm.set(state=armed mode=away)]),act,
ROU-003,Turn on the lights and set the thermostat to 21 degrees,routines,command,1,multi.set([light.set(all=true state=on) thermostat.set(temp=21 unit=C)]),act,
ROU-004,Turn off the TV and dim the bedroom lights to 20 percent,routines,command,1,multi.set([tv.set(state=off) light.set(room=bedroom brightness=20%)]),act,
ROU-005,Lock the front door and turn on the porch light,routines,command,1,multi.set([lock.set(door=front state=locked) light.set(room=porch state=on)]),act,
ROU-006,Turn off all the lights and turn off all the speakers,routines,command,1,multi.set([light.set(all=true state=off) speaker.set(all=true state=off)]),act,
ROU-007,Close the garage and lock all the doors,routines,command,1,multi.set([garage.set(state=closed) lock.set(all=true state=locked)]),act,
ROU-008,Arm the alarm and turn off all the lights,routines,command,1,multi.set([alarm.set(state=armed) light.set(all=true state=off)]),act,
ROU-009,Turn on the hallway light and unlock the front door,routines,command,1,multi.set([light.set(room=hallway state=on) lock.set(door=front state=unlocked)]),act,
ROU-010,Turn off the heating and lock all the doors,routines,command,1,multi.set([thermostat.set(mode=off) lock.set(all=true state=locked)]),act,
ROU-011,Turn on the garden lights and arm the alarm,routines,command,1,multi.set([light.set(room=garden state=on) alarm.set(state=armed mode=home)]),act,
ROU-012,Start the coffee maker and turn on the kitchen lights,routines,command,1,multi.set([coffee_maker.set(state=on) light.set(room=kitchen state=on)]),act,
ROU-013,Pause the music and turn on the hallway light,routines,command,1,multi.set([audio.pause() light.set(room=hallway state=on)]),act,
ROU-014,Lock all doors and turn off all media,routines,command,1,multi.set([lock.set(all=true state=locked) tv.set(all=true state=off) speaker.set(all=true state=off)]),act,
ROU-015,Set the heating to 20 degrees and turn on the living room lights,routines,command,1,multi.set([thermostat.set(temp=20 unit=C) light.set(room=living_room state=on)]),act,
ROU-016,Turn off all the lights lock all the doors and arm the alarm,routines,command,1,multi.set([light.set(all=true state=off) lock.set(all=true state=locked) alarm.set(state=armed)]),act,
ROU-017,Unlock the front door and turn on the hallway light,routines,command,1,multi.set([lock.set(door=front state=unlocked) light.set(room=hallway state=on)]),act,
ROU-018,Turn off the oven and lock the back door,routines,command,1,multi.set([oven.set(state=off) lock.set(door=back state=locked)]),act,
ROU-019,Start the robot vacuum and turn off the lights downstairs,routines,command,1,multi.set([vacuum.set(state=on) light.set(floor=downstairs state=off)]),act,
ROU-020,Turn on the outdoor lights and arm the perimeter,routines,command,1,multi.set([light.set(room=outdoor state=on) alarm.set(state=armed mode=perimeter)]),act,
ROU-021,Mute all speakers and dim the living room lights,routines,command,1,multi.set([volume.set(all=true state=mute) light.set(room=living_room brightness=20%)]),act,
ROU-022,Turn off all climate control and lock all doors,routines,command,1,multi.set([thermostat.set(all=true mode=off) lock.set(all=true state=locked)]),act,
ROU-023,Turn on the porch light and check the front door camera,routines,command,1,multi.set([light.set(room=porch state=on) camera.view(device=front_door)]),act,
ROU-024,Set the thermostat to 18 degrees and dim the bedroom lights to 5 percent,routines,command,1,multi.set([thermostat.set(room=bedroom temp=18 unit=C) light.set(room=bedroom brightness=5%)]),act,
ROU-025,Turn on the living room lights and play some background music,routines,command,1,multi.set([light.set(room=living_room state=on) audio.play(room=living_room genre=ambient volume=low)]),act,
ROU-026,Turn off the TV the lights and lock the front door,routines,command,1,multi.set([tv.set(state=off) light.set(all=true state=off) lock.set(door=front state=locked)]),act,
ROU-027,Start the coffee maker and turn on the kitchen lights and set heating to 21 degrees,routines,command,1,multi.set([coffee_maker.set(state=on) light.set(room=kitchen state=on) thermostat.set(temp=21 unit=C)]),act,
ROU-028,Lock the back door and close the garage and arm the alarm,routines,command,1,multi.set([lock.set(door=back state=locked) garage.set(state=closed) alarm.set(state=armed mode=away)]),act,
ROU-029,Unlock the front door and turn on the hallway light and disarm the alarm,routines,command,1,multi.set([lock.set(door=front state=unlocked) light.set(room=hallway state=on) alarm.set(state=disarmed)]),act,
ROU-030,Turn off all outdoor lights and lock the gates,routines,command,1,multi.set([light.set(room=outdoor state=off) gate.set(location=front state=closed) gate.set(location=side state=closed)]),act,
ROU-031,Turn off the kitchen lights and start the dishwasher and lock the back door,routines,command,1,multi.set([light.set(room=kitchen state=off) dishwasher.set(state=on mode=eco) lock.set(door=back state=locked)]),act,
ROU-032,Set the bedroom to 18 degrees and dim the bedroom lights to 5 percent and turn the TV off,routines,command,1,multi.set([thermostat.set(room=bedroom temp=18 unit=C) light.set(room=bedroom brightness=5%) tv.set(state=off)]),act,
ROU-033,Start the robot vacuum and turn off the downstairs lights,routines,command,1,multi.set([vacuum.set(state=on) light.set(floor=downstairs state=off)]),act,
ROU-034,Turn the heating on and unlock the front door and turn on the porch light,routines,command,1,multi.set([thermostat.set(mode=heat) lock.set(door=front state=unlocked) light.set(room=porch state=on)]),act,
ROU-035,Turn off all media and dim all lights to 10 percent and lock all doors,routines,command,1,multi.set([tv.set(all=true state=off) speaker.set(all=true state=off) light.set(all=true brightness=10%) lock.set(all=true state=locked)]),act,
ROU-036,Good morning,routines,command,3,multi.set([light.set(room=bedroom brightness=gradual) thermostat.set(mode=heat) coffee_maker.set(state=on)]),ask,Morning trio inferred — exact sequence is personal
ROU-037,Goodnight,routines,command,2,multi.set([light.set(all=true state=off) lock.set(all=true state=locked) alarm.set(state=armed mode=home)]),act,Night trio inferred — exact devices personal
ROU-038,I am heading out,routines,command,2,multi.set([lock.set(all=true state=locked) alarm.set(state=armed mode=away) light.set(all=true state=off)]),act,Leaving implies secure and dark — media off also assumed
ROU-039,I am home,routines,command,3,multi.set([lock.set(door=front state=unlocked) alarm.set(state=disarmed) light.set(room=hallway state=on)]),ask,Welcome home trio inferred — other devices personal
ROU-040,Get ready for bed,routines,command,3,multi.set([light.set(all=true brightness=low) tv.set(state=off) thermostat.set(room=bedroom temp=18)]),ask,Bed prep trio inferred — exact settings personal
ROU-041,We are leaving,routines,command,2,multi.set([lock.set(all=true state=locked) alarm.set(state=armed mode=away)]),act,Leaving implies lock and arm — other devices personal
ROU-042,Secure the house,routines,command,2,multi.set([lock.set(all=true state=locked) alarm.set(state=armed)]),ask,Secure scope is personal — camera and media states unknown
ROU-043,Wake up the house,routines,command,3,multi.set([light.set(all=true state=on) thermostat.set(mode=heat) speaker.set(all=true state=on)]),ask,Wake-up trio inferred — exact settings personal
ROU-044,Wind down for the night,routines,command,3,multi.set([light.set(all=true brightness=lower) tv.set(state=off) thermostat.set(room=bedroom temp=lower)]),ask,Wind-down trio inferred — exact levels personal
