id,command,category,interaction_type,tier,expected_action,expected_initiative,notes
CLM-001,Set the thermostat to 20 degrees,climate,command,1,thermostat.set(temp=20 unit=C),act,
CLM-002,Turn up the heating to 22 degrees,climate,command,1,thermostat.set(temp=22 unit=C mode=heat),act,
CLM-003,Set the temperature to 18 degrees,climate,command,1,thermostat.set(temp=18 unit=C),act,
CLM-004,Turn off the heating,climate,command,1,thermostat.set(mode=off),act,
CLM-005,Switch on the air conditioning,climate,command,1,thermostat.set(mode=cool),act,
CLM-006,Turn off the air conditioning,climate,command,1,thermostat.set(mode=off),act,
CLM-007,Set the thermostat to 21 degrees in the bedroom,climate,command,1,"thermostat.set(room=bedroom temp=21 unit=C)",act,
CLM-008,Turn on the bedroom fan,climate,command,1,fan.set(room=bedroom state=on),act,
CLM-009,Switch off the living room fan,climate,command,1,fan.set(room=living_room state=off),act,
CLM-010,Set the bedroom fan to high speed,climate,command,1,fan.set(room=bedroom speed=high),act,
CLM-011,Turn the thermostat to cool mode,climate,command,1,thermostat.set(mode=cool),act,
CLM-012,Switch the thermostat to heat mode,climate,command,1,thermostat.set(mode=heat),act,
CLM-013,Set the thermostat to auto mode,climate,command,1,thermostat.set(mode=auto),act,
CLM-014,Turn off all climate control,climate,command,1,"thermostat.set(all=true mode=off)",act,
CLM-015,Set the living room temperature to 19 degrees,climate,command,1,"thermostat.set(room=living_room temp=19 unit=C)",act,
CLM-016,Turn the kitchen fan on,climate,command,1,fan.set(room=kitchen state=on),act,
CLM-017,Switch off the kitchen fan,climate,command,1,fan.set(room=kitchen state=off),act,
CLM-018,Set the fan speed to low in the bedroom,climate,command,1,fan.set(room=bedroom speed=low),act,
CLM-019,Turn the thermostat down to 17 degrees,climate,command,1,thermostat.set(temp=17 unit=C),act,
CLM-020,Set the air conditioning to 20 degrees,climate,command,1,"thermostat.set(mode=cool temp=20 unit=C)",act,
CLM-021,Check the air quality,climate,command,1,airquality.check(),act,
CLM-022,Turn on the extractor fan in the kitchen,climate,command,1,"fan.set(room=kitchen device=extractor state=on)",act,
CLM-023,Switch off the kitchen extractor fan,climate,command,1,"fan.set(room=kitchen device=extractor state=off)",act,
CLM-024,Turn on the bathroom fan,climate,command,1,fan.set(room=bathroom state=on),act,
CLM-025,Switch off the bathroom fan,climate,command,1,fan.set(room=bathroom state=off),act,
CLM-026,Set the study thermostat to 20 degrees,climate,command,1,"thermostat.set(room=study temp=20 unit=C)",act,
CLM-027,Turn on the dining room fan,climate,command,1,fan.set(room=dining state=on),act,
CLM-028,Switch off the master bedroom fan,climate,command,1,fan.set(room=master_bedroom state=off),act,
CLM-029,Set the fan to medium speed in the living room,climate,command,1,"fan.set(room=living_room speed=medium)",act,
CLM-030,Turn on the heating throughout the house,climate,command,1,"thermostat.set(all=true mode=heat)",act,
CLM-031,Switch off all fans,climate,command,1,"fan.set(all=true state=off)",act,
CLM-032,Set the thermostat to cool mode at 22 degrees,climate,command,1,"thermostat.set(mode=cool temp=22 unit=C)",act,
CLM-033,Turn off the extractor fan in the bathroom,climate,command,1,"fan.set(room=bathroom device=extractor state=off)",act,
CLM-034,Set the bedroom thermostat to 19 degrees in heat mode,climate,command,1,"thermostat.set(room=bedroom temp=19 unit=C mode=heat)",act,
CLM-035,Set the air purifier to auto mode,climate,command,1,air_purifier.set(mode=auto),act,
CLM-036,Make it warmer in here,climate,command,2,"thermostat.set(room=current temp=higher)",act,Room inferred from occupancy. How much warmer?
CLM-037,Turn the heating up a bit,climate,command,2,"thermostat.set(room=current temp=higher)",act,Room inferred. How much?
CLM-038,It is too cold in here,climate,command,2,"thermostat.set(room=current temp=higher)",act,Room inferred from occupancy. How much higher?
CLM-039,Make it cooler,climate,command,2,"thermostat.set(room=current temp=lower)",act,Room inferred. How much?
CLM-040,Can you cool the place down,climate,command,2,"thermostat.set(mode=cool room=unknown)",ask,The place = whole home implied but which rooms have climate control?
CLM-041,Turn on the heating,climate,command,2,"thermostat.set(mode=heat room=unknown)",ask,Which room?
CLM-042,It is a bit stuffy in here,climate,command,2,"fan.set(room=current state=on speed=low)",act,Room inferred. Fan assumed over window
CLM-043,Can you freshen the air a bit,climate,command,2,"fan.set(room=current state=on speed=low)",act,Room inferred. Fan assumed
CLM-044,Turn the temperature down,climate,command,2,"thermostat.set(room=current temp=lower)",act,Room inferred. How much?
CLM-045,It is getting warm in here,climate,command,2,"thermostat.set(room=current temp=lower)",act,Room inferred. How much lower?
CLM-046,Can you adjust the temperature,climate,command,2,"thermostat.set(room=current temp=unknown)",ask,Which direction? How much?
CLM-047,Turn the fan up,climate,command,2,"fan.set(room=current speed=higher)",act,Room inferred. How much higher?
CLM-048,Turn the fan down a bit,climate,command,2,"fan.set(room=current speed=lower)",act,Room inferred. How much lower?
CLM-049,It feels cold,climate,command,2,"thermostat.set(room=current temp=higher)",act,Room inferred. How much higher?
CLM-050,I need some air,climate,command,2,fan.set(room=current state=on),act,Room inferred. Fan type assumed
CLM-051,The fan is too loud,climate,command,2,"fan.set(room=current speed=lower)",act,Room inferred. How much lower?
CLM-052,Turn the heating off for now,climate,command,2,thermostat.set(mode=off),act,All rooms assumed
CLM-053,Cool it down a little,climate,command,2,"thermostat.set(room=current temp=lower)",act,Room inferred. How much?
CLM-054,I am too warm,climate,command,2,"thermostat.set(room=current temp=lower)",act,Room inferred. How much lower?
CLM-055,A bit more heat please,climate,command,2,"thermostat.set(room=current temp=higher)",act,Room inferred. How much?
CLM-056,The house feels cold today,climate,command,2,"thermostat.set(all=true temp=higher)",act,Whole home assumed. How much warmer?
CLM-057,Can you check the temperature in here,climate,command,2,thermostat.check(room=current),act,Room inferred from occupancy
CLM-058,The air feels heavy in here,climate,command,2,"fan.set(room=current state=on speed=low)",act,Room inferred. Fan assumed
CLM-059,It is getting warm in the bedroom,climate,command,2,"thermostat.set(room=bedroom temp=lower)",act,Room specified. How much lower?
CLM-060,Can you do something about the temperature,climate,command,2,"thermostat.set(room=current temp=unknown)",ask,Which direction?
CLM-061,The fan is too noisy,climate,command,2,"fan.set(room=current speed=lower)",act,Room inferred. Reduce speed
CLM-062,Make it a bit warmer for the kids,climate,command,2,"thermostat.set(room=unknown temp=higher)",ask,Which room are the kids in?
CLM-063,The room needs some air,climate,command,2,fan.set(room=current state=on),act,Room inferred from occupancy
CLM-064,Set it to a comfortable sleeping temperature,climate,command,3,"thermostat.set(room=bedroom temp=unknown)",ask,Comfortable for sleep is personal
CLM-065,Make it feel like summer inside,climate,command,3,"thermostat.set(temp=unknown mode=cool)",ask,Summer feel is personal
CLM-066,Set the climate for working from home,climate,command,3,"thermostat.set(room=unknown temp=unknown)",ask,WFH climate is personal. Which room?
CLM-067,Make the bedroom perfect for sleeping,climate,command,3,"thermostat.set(room=bedroom temp=unknown)",ask,Sleep temperature is personal
CLM-068,Set it up for movie night,climate,command,3,"thermostat.set(room=living_room temp=unknown)",ask,Movie temperature is personal
